0.41,-0.09,0.68,-0.26
-0.65,0.09,0.35,-1.06
0.03,-0.09,0.28,-0.63
-0.72,-0.02,0.38,-0.96
-0.05,-0.11,0.41,-0.47
1.39,0.01,1.47,-0.11
0.26,-0.08,0.35,-0.47
0.79,0.01,0.99,-0.31
-0.07,-0.03,0.36,-0.21
-0.68,-0.09,0.11,-0.83
-0.18,0.14,0.22,-0.58
-0.89,-0.11,-0.03,-1.00
0.26,-0.05,0.43,-0.81
0.26,0.18,0.42,-0.19
-0.30,-0.02,0.18,-0.75
0.74,-0.03,1.03,-0.36
0.48,0.00,0.58,-0.67
-1.08,-0.23,0.08,-1.31
0.57,-0.03,0.80,-0.10
-0.29,-0.09,0.09,-0.52
1.02,-0.12,1.21,-0.29
0.09,-0.05,0.20,-0.32
1.40,-0.09,1.62,-0.16
0.03,0.03,0.59,-0.42
-0.19,0.05,0.12,-0.78
0.96,-0.08,1.17,-0.32
-0.25,-0.09,0.34,-0.67
-0.17,-0.04,0.12,-0.59
0.70,-0.04,1.00,-0.12
-0.53,0.02,0.21,-0.60
1.16,-0.07,1.24,-0.39
1.04,-0.12,1.24,-0.55
0.47,-0.01,0.68,-0.49
0.02,0.10,0.57,-0.81
-0.59,-0.06,0.03,-0.82
0.89,-0.06,1.37,-0.26
0.13,0.02,0.80,-0.30
-0.69,-0.06,0.21,-0.86
0.01,0.02,0.94,-0.15
-0.42,-0.07,0.57,-0.89
