-0.11,-0.01,0.17,-0.56
1.12,-0.10,1.19,-0.21
-0.27,0.17,0.37,-0.47
0.40,-0.05,0.71,-0.17
0.19,-0.10,0.31,-0.38
0.28,0.03,0.70,-0.12
-0.45,-0.12,0.32,-0.65
-0.14,-0.02,0.29,-0.31
-0.87,0.02,0.06,-1.01
-0.07,-0.01,0.51,-0.80
-0.32,0.01,0.24,-0.91
-2.46,0.03,0.68,-3.24
2.00,0.47,2.65,-0.01
0.34,0.05,0.87,-0.72
-0.29,-0.03,0.29,-0.49
-0.15,-0.07,0.24,-0.37
0.61,-0.01,0.71,-0.09
0.97,0.02,1.36,-0.14
0.47,0.04,0.67,-0.11
-1.07,-0.03,0.07,-1.60
0.08,0.02,0.31,-0.20
-1.00,-0.03,0.32,-1.08
-0.25,-0.54,0.60,-1.55
0.14,-0.07,0.30,-0.51
0.11,-0.04,0.36,-0.49
0.86,0.07,0.99,-0.33
0.07,-0.01,0.21,-0.29
0.01,0.01,0.24,-0.69
0.53,-0.11,0.58,-0.57
-0.07,-0.07,0.41,-0.80
0.13,-0.04,0.36,-0.45
1.68,-0.05,1.77,-0.10
0.52,-0.34,0.78,-0.52
-0.31,-0.02,0.17,-0.51
0.54,0.05,1.00,-0.12
-0.94,0.07,0.58,-1.29
0.53,-0.04,0.66,-0.72
0.39,0.15,0.61,-0.27
0.24,-0.08,0.63,-0.42
0.28,-0.06,0.35,-0.61
