x:accel,y__0,y__1,y__2,y__3,y__4,y__5,y__6
./sub_dataset/0.csv,0,0,1,0,0,0,0
./sub_dataset/1.csv,0,0,0,1,0,0,0
./sub_dataset/2.csv,0,0,0,1,0,0,0
./sub_dataset/3.csv,0,0,0,1,0,0,0
./sub_dataset/4.csv,0,0,0,1,0,0,0
./sub_dataset/5.csv,0,0,0,0,1,0,0
./sub_dataset/6.csv,0,0,0,0,0,1,0
./sub_dataset/7.csv,0,0,0,0,0,1,0
./sub_dataset/8.csv,0,0,0,1,0,0,0
./sub_dataset/9.csv,0,0,0,1,0,0,0
./sub_dataset/10.csv,0,0,0,1,0,0,0
./sub_dataset/11.csv,0,0,0,1,0,0,0
./sub_dataset/12.csv,0,0,0,1,0,0,0
./sub_dataset/13.csv,0,0,0,1,0,0,0
./sub_dataset/14.csv,0,0,0,1,0,0,0
./sub_dataset/15.csv,0,0,0,1,0,0,0
./sub_dataset/16.csv,0,0,0,1,0,0,0
./sub_dataset/17.csv,0,0,0,1,0,0,0
./sub_dataset/18.csv,0,0,1,0,0,0,0
./sub_dataset/19.csv,0,0,0,1,0,0,0
./sub_dataset/20.csv,0,0,0,0,1,0,0
./sub_dataset/21.csv,0,0,0,0,1,0,0
./sub_dataset/22.csv,0,0,0,0,1,0,0
./sub_dataset/23.csv,0,0,0,1,0,0,0
./sub_dataset/24.csv,0,0,0,1,0,0,0
./sub_dataset/25.csv,0,0,0,1,0,0,0
./sub_dataset/26.csv,0,0,0,1,0,0,0
./sub_dataset/27.csv,0,0,0,0,1,0,0
./sub_dataset/28.csv,0,0,0,0,1,0,0
./sub_dataset/29.csv,0,0,0,0,1,0,0
./sub_dataset/30.csv,0,0,0,0,1,0,0
./sub_dataset/31.csv,0,0,1,0,0,0,0
./sub_dataset/32.csv,0,0,0,1,0,0,0
./sub_dataset/33.csv,0,0,0,1,0,0,0
./sub_dataset/34.csv,0,0,0,1,0,0,0
./sub_dataset/35.csv,0,0,0,1,0,0,0
./sub_dataset/36.csv,0,0,0,1,0,0,0
./sub_dataset/37.csv,0,0,0,1,0,0,0
./sub_dataset/38.csv,0,0,0,1,0,0,0
./sub_dataset/39.csv,0,0,0,1,0,0,0
./sub_dataset/40.csv,0,0,0,1,0,0,0
./sub_dataset/41.csv,0,0,0,0,1,0,0
./sub_dataset/42.csv,0,0,0,0,1,0,0
./sub_dataset/43.csv,0,0,0,0,1,0,0
./sub_dataset/44.csv,0,0,0,0,0,1,0
./sub_dataset/45.csv,0,0,0,1,0,0,0
./sub_dataset/46.csv,0,0,1,0,0,0,0
./sub_dataset/47.csv,0,0,0,1,0,0,0
./sub_dataset/48.csv,0,0,0,0,1,0,0
./sub_dataset/49.csv,0,0,0,1,0,0,0
./sub_dataset/50.csv,0,0,1,0,0,0,0
./sub_dataset/51.csv,0,0,0,1,0,0,0
./sub_dataset/52.csv,0,0,0,1,0,0,0
./sub_dataset/53.csv,0,0,0,0,0,1,0
./sub_dataset/54.csv,0,0,0,1,0,0,0
./sub_dataset/55.csv,1,0,0,0,0,0,0
./sub_dataset/56.csv,0,0,1,0,0,0,0
./sub_dataset/57.csv,0,0,1,0,0,0,0
./sub_dataset/58.csv,0,0,1,0,0,0,0
./sub_dataset/59.csv,0,0,1,0,0,0,0
./sub_dataset/60.csv,0,1,0,0,0,0,0
./sub_dataset/61.csv,0,0,0,0,1,0,0
./sub_dataset/62.csv,0,0,0,0,0,1,0
./sub_dataset/63.csv,0,1,0,0,0,0,0
./sub_dataset/64.csv,0,1,0,0,0,0,0
./sub_dataset/65.csv,0,0,0,1,0,0,0
./sub_dataset/66.csv,0,1,0,0,0,0,0
./sub_dataset/67.csv,0,1,0,0,0,0,0
./sub_dataset/68.csv,0,0,0,1,0,0,0
./sub_dataset/69.csv,0,1,0,0,0,0,0
./sub_dataset/70.csv,0,0,1,0,0,0,0
./sub_dataset/71.csv,0,0,0,1,0,0,0
./sub_dataset/72.csv,0,0,0,1,0,0,0
./sub_dataset/73.csv,0,0,0,1,0,0,0
./sub_dataset/74.csv,0,0,0,1,0,0,0
./sub_dataset/75.csv,0,0,0,0,0,1,0
./sub_dataset/76.csv,0,0,0,0,1,0,0
./sub_dataset/77.csv,0,0,0,1,0,0,0
./sub_dataset/78.csv,0,0,1,0,0,0,0
./sub_dataset/79.csv,0,0,0,1,0,0,0
./sub_dataset/80.csv,0,0,1,0,0,0,0
./sub_dataset/81.csv,0,1,0,0,0,0,0
./sub_dataset/82.csv,0,0,0,1,0,0,0
./sub_dataset/83.csv,0,0,0,1,0,0,0
./sub_dataset/84.csv,0,0,0,1,0,0,0
./sub_dataset/85.csv,0,0,0,1,0,0,0
./sub_dataset/86.csv,0,0,0,1,0,0,0
./sub_dataset/87.csv,0,0,0,0,0,1,0
./sub_dataset/88.csv,0,0,0,0,1,0,0
./sub_dataset/89.csv,0,0,0,1,0,0,0
./sub_dataset/90.csv,0,0,0,1,0,0,0
./sub_dataset/91.csv,0,0,0,1,0,0,0
./sub_dataset/92.csv,0,0,0,0,1,0,0
./sub_dataset/93.csv,0,0,0,1,0,0,0
./sub_dataset/94.csv,0,0,0,1,0,0,0
./sub_dataset/95.csv,0,1,0,0,0,0,0
./sub_dataset/96.csv,0,1,0,0,0,0,0
./sub_dataset/97.csv,0,0,0,1,0,0,0
./sub_dataset/98.csv,0,0,0,1,0,0,0
./sub_dataset/99.csv,0,0,0,1,0,0,0
./sub_dataset/100.csv,0,0,0,1,0,0,0
./sub_dataset/101.csv,0,0,0,1,0,0,0
./sub_dataset/102.csv,0,0,0,1,0,0,0
./sub_dataset/103.csv,0,0,0,0,1,0,0
./sub_dataset/104.csv,0,0,0,1,0,0,0
./sub_dataset/105.csv,0,0,0,1,0,0,0
./sub_dataset/106.csv,0,0,0,1,0,0,0
./sub_dataset/107.csv,0,0,0,0,1,0,0
./sub_dataset/108.csv,0,0,0,1,0,0,0
./sub_dataset/109.csv,0,0,0,1,0,0,0
./sub_dataset/110.csv,0,0,0,0,1,0,0
./sub_dataset/111.csv,0,0,0,0,0,1,0
./sub_dataset/112.csv,0,0,0,0,1,0,0
./sub_dataset/113.csv,0,0,1,0,0,0,0
./sub_dataset/114.csv,0,0,0,1,0,0,0
./sub_dataset/115.csv,0,0,0,1,0,0,0
./sub_dataset/116.csv,0,0,1,0,0,0,0
./sub_dataset/117.csv,0,0,0,1,0,0,0
./sub_dataset/118.csv,0,0,0,1,0,0,0
./sub_dataset/119.csv,0,0,0,1,0,0,0
./sub_dataset/120.csv,0,0,0,1,0,0,0
./sub_dataset/121.csv,0,0,0,1,0,0,0
./sub_dataset/122.csv,0,0,0,0,0,1,0
./sub_dataset/123.csv,0,0,0,1,0,0,0
./sub_dataset/124.csv,0,0,1,0,0,0,0
./sub_dataset/125.csv,0,0,0,1,0,0,0
./sub_dataset/126.csv,0,0,0,1,0,0,0
./sub_dataset/127.csv,0,1,0,0,0,0,0
./sub_dataset/128.csv,0,1,0,0,0,0,0
./sub_dataset/129.csv,0,0,1,0,0,0,0
./sub_dataset/130.csv,0,0,1,0,0,0,0
./sub_dataset/131.csv,0,0,0,1,0,0,0
./sub_dataset/132.csv,0,1,0,0,0,0,0
./sub_dataset/133.csv,0,0,0,1,0,0,0
./sub_dataset/134.csv,0,0,0,0,1,0,0
./sub_dataset/135.csv,0,0,0,1,0,0,0
./sub_dataset/136.csv,0,0,0,1,0,0,0
./sub_dataset/137.csv,0,0,0,0,1,0,0
./sub_dataset/138.csv,0,0,0,0,0,1,0
./sub_dataset/139.csv,0,0,0,0,1,0,0
./sub_dataset/140.csv,0,0,0,1,0,0,0
./sub_dataset/141.csv,0,0,0,0,1,0,0
./sub_dataset/142.csv,0,0,0,1,0,0,0
./sub_dataset/143.csv,0,0,0,1,0,0,0
./sub_dataset/144.csv,0,0,0,1,0,0,0
./sub_dataset/145.csv,0,0,0,1,0,0,0
./sub_dataset/146.csv,0,0,0,0,1,0,0
./sub_dataset/147.csv,0,0,0,0,1,0,0
./sub_dataset/148.csv,0,0,0,1,0,0,0
./sub_dataset/149.csv,0,0,0,1,0,0,0
./sub_dataset/150.csv,0,0,0,0,0,1,0
./sub_dataset/151.csv,0,0,0,1,0,0,0
./sub_dataset/152.csv,0,0,0,1,0,0,0
./sub_dataset/153.csv,0,0,0,0,1,0,0
